Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462960.8,137951849.4,153270367.7,173511108,201862959.4,245896292,286474069,338696290.3,373403697.1,391570363.5,410388888.9,423762963,456537037,500088888.9,494185185.2,541074074.1,579851851.9,620037037,651851851.9,783837851.9,773765185.2,802529333.3,839996370.4,898356148.1,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1220976000,1297285370,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18567588756,19639377310,19883525591,21497368126,23754059805,25925635569,27250531974,30378541830,32641953186,36606562885,41245380222,45119274275,51928738318,63688661115,88775239499,97081797078,1.04815E+11,1.10097E+11,1.18218E+11,1.34585E+11,1.49655E+11,1.76527E+11,1.93651E+11,1.76899E+11,1.93198E+11,1.80183E+11,1.81989E+11,1.89077E+11,2.35771E+11,2.9948E+11,3.10955E+11,3.25575E+11,3.25253E+11,3.11951E+11,3.22805E+11,3.67949E+11,4.01335E+11,4.35571E+11,3.99294E+11,3.88672E+11,4.14952E+11,3.78459E+11,3.94196E+11,4.66348E+11,6.12695E+11,6.93075E+11,7.46881E+11,8.53053E+11,1.05456E+12,9.26564E+11,1.14225E+12,1.38992E+12,1.53748E+12,1.56395E+12,1.45468E+12,1.33954E+12,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,1.23869E+11,1.33018E+11,1.32785E+11,1.66062E+11,1.73376E+11,1.94608E+11,1.89921E+11,2.03045E+11,2.40458E+11,2.3672E+11,2.12323E+11,2.17684E+11,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.99857E+11,3.14649E+11,3.34309E+11,3.86459E+11,4.27612E+11,3.97594E+11,3.90235E+11,4.29011E+11,4.07373E+11,4.28699E+11,4.36888E+11,3.74056E+11,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965,53047140347,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3085184837,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26849173618,29981318395,37408626615,47999408508,56333063691,66029811341,71494607106,83283407091,1.01789E+11,1.16938E+11,1.27508E+11,1.05291E+11,92588982518,87650998817,83795759983,86730120728,1.20661E+11,1.50194E+11,1.63168E+11,1.651E+11,2.06431E+11,2.11638E+11,2.36039E+11,2.25925E+11,2.46195E+11,2.89568E+11,2.81358E+11,2.54814E+11,2.60602E+11,2.60202E+11,2.37905E+11,2.37842E+11,2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71822E+11,5.18626E+11,4.84553E+11,4.83577E+11,5.26975E+11,4.97816E+11,5.21371E+11,5.31235E+11,4.54039E+11,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.1,235668220.9,236434954.3,253927697.6,269819005.8,289908680.2,302925235.7,306221953.4,326323105.6,330748244.1,333627713.5,335073027.9,410331856.2,504376074.1,554654861.5,676870139.3,698408261.1,750049780.2,928843468.5,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965330,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8117100934,9110800745,9575356735,8476125181,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.3,350247234.8,379567099.7,394040667.6,410321644.8,422916789.4,433889767,450753923.9,460442689.8,478298644.7,458404268.7,482411179.7,578595520.9,674773569.7,751133431.6,939972702,976547187,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834947,2616040481,2615587730,3101300779,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,3014665729,2632700363,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,12114166021,12549126616,11099473097,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685473,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483291,31708873955,33166520085,33768662171,37939748051,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,20039627960,20056236992,19804095112,16959385509,17411159923,17562123350,20261212467,28429027976,23002458745,21746812560,20726301370,10943548387,10350515464,10829710145,9697416974,13063422619,10109404160,11195630537,14630974778,13495062850,13148099185,14135393876,16360346654,21074775206,26094622564,29821662537,34304448150,44765733380,54666642734,51783454184,49939168133,56949835052,53576670828,55626359256,56717054674,48952959080,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698431,3467819268,3645744806,3735106511,3905585240,3651861827,3052393722,3392021127,3702393744,3863563962,4229787379,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,29044069149,30756462766,32897606383,33851063830,32221489362,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169802257.8,190096176.6,212252822.2,237742768.5,266664053.7,300392162.5,340000006.4,390196085.7,444901969.1,528137264.8,538423167.5,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,8884441432,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685729739,5505984456,5748990666,6651226179,8370020196,10022840635,11225138297,12866524918,15776422673,19101454464,17600630727,17163117551,18628022743,17207367626,18154290272,18521476055,15995392118,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961821894,45275747861,60752177439,49208656976,55220932614,59734593905,63615445567,73097619637,76103961203,54608962635,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072479.78,29965001.79,31857593.8,33750115.81,36194588.4,40069931.54,44405596.03,47379308.79,44910180.79,47305390.44,53233534.3,59207317.59,66062499.02,78343558.51,103216372,118066302.1,96905828.77,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990350000,1057850000,1114202700,1217442150,1290542550,1368625150,1336957250,1397113450,1486712300,1573618750,1625828100,1717861750,1763000000,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631308,23963033444,27084497540,30659338929,32996187988,33196819572,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.85643E+11,8.50426E+11,8.83199E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59373E+11,5.07963E+11,5.5832E+11,6.69316E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.61457E+12,2.46066E+12,2.46577E+12,2.41705E+12,1.77472E+12,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1012280571,1114204695,1163923780,1236016453,1346890013,1409536060,1547755116,1704370234,1812757839,2006165080,2012131370,2020583615,1957000000,2063342028,2151344808,2262218368,2411872814,2549097488,2874260304,3011982170,3121500000,3116500000,3169500000,3275000000,3514500000,3897500000,4303500000,4546000000,4595000000,4602000000,4445500000,4358000000,4313000000,4281000000,4354500000,4451000000,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,12370616062,16691533190,16953505122,16110693734,17104656669,15492035784,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1958819915,1962221696,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411418.68,32902592.84,35644931.94,38091832.99,41616368.32,45788670.69,51465624.41,58642385.24,66248426.99,77361532.99,96243298.14,126954476.9,165253183.6,244124115.7,306044205.9,355168715.4,372025093.4,451624959.6,590407375.2,819870595.1,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267128733,12786662035,15682931970,14686249032,14814801573,15880195735,14390863395,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.3,123134583.7,124482774,129379123.9,142025078.7,150574795.3,157930018.4,163820513.7,191767441.8,188039209.9,189106529.2,201450800.1,230317882.9,271183082,281398706,378660015.7,451152460.8,507298148.4,610578631.4,700764746.9,797048197,694803624,748312391.4,658679332.6,637820670.6,864849836.8,1122265015,1200991976,1264899288,1233930279,1440711459,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1350301057,1460562038,1698125618,1985370058,1981728141,1986014846,2212699747,2184183758,1494073354,1691091492,1503299944,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87896095224,99271961478,1.13083E+11,1.31322E+11,1.60409E+11,1.73834E+11,2.06576E+11,2.11612E+11,2.18633E+11,2.43072E+11,2.73854E+11,3.06215E+11,3.13507E+11,3.40548E+11,3.55373E+11,3.64756E+11,3.77438E+11,4.31317E+11,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61341E+12,1.7887E+12,1.82429E+12,1.83744E+12,1.78378E+12,1.55054E+12,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54126E+11,2.40935E+11,2.57939E+11,2.72008E+11,3.08503E+11,3.83296E+11,4.09709E+11,4.07277E+11,4.46349E+11,4.32378E+11,4.27507E+11,4.68119E+11,5.27093E+11,6.34213E+11,7.60811E+11,8.83741E+11,1.00007E+12,1.26007E+12,1.51907E+12,1.27603E+12,1.31161E+12,1.44482E+12,1.34887E+12,1.41933E+12,1.45765E+12,1.27322E+12,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.1871E+11,1.08721E+11,1.11432E+11,1.11036E+11,1.06019E+11,1.07496E+11,1.54096E+11,1.92982E+11,2.08774E+11,2.01573E+11,2.5742E+11,2.6046E+11,2.71134E+11,2.63691E+11,2.91914E+11,3.41759E+11,3.29619E+11,2.86604E+11,2.94978E+11,2.89884E+11,2.7166E+11,2.78629E+11,3.01128E+11,3.51983E+11,3.93542E+11,4.07536E+11,4.29196E+11,4.77408E+11,5.51547E+11,5.39528E+11,5.81212E+11,6.96312E+11,6.65408E+11,6.84919E+11,7.01037E+11,6.64738E+11,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4211737001,4705385527,5502775895,5482761660,5794309263,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387455087,15535549760,7226476864,9857547847,13359145455,15399431311,20729772209,27572307600,32644872979,24339421605,19770402076,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.00631E+11,1.24404E+11,1.54671E+11,1.73081E+11,1.79627E+11,1.71957E+11,2.17538E+11,2.50832E+11,2.65232E+11,2.77079E+11,2.58733E+11,2.40216E+11,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59184116489,49557050183,46685178504,50097303271,59062254890,69709153115,75879434776,72057028560,69993497892,78718820478,91506211306,98562023844,1.1216E+11,1.3677E+11,1.42255E+11,1.61162E+11,1.51628E+11,1.72349E+11,1.48382E+11,1.76857E+11,1.8965E+11,1.94369E+11,2.0355E+11,2.2895E+11,2.58082E+11,3.0748E+11,2.98806E+11,2.7135E+11,3.10722E+11,3.45957E+11,3.58973E+11,3.81455E+11,4.24934E+11,4.42875E+11,5.62261E+11,7.32032E+11,8.60844E+11,9.58159E+11,1.02528E+12,1.08945E+12,1.20526E+12,1.33223E+12,1.46191E+12,1.64993E+12,1.94175E+12,2.2686E+12,2.72978E+12,3.52309E+12,4.55843E+12,5.05942E+12,6.03966E+12,7.49243E+12,8.46162E+12,9.4906E+12,1.03511E+13,1.08664E+13,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203558.5,618245635.1,645284474.6,761047199,921063326.3,919771228,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31292560974,34253607832,31752543539,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,618740961.9,657597316.8,699373631.1,723624330.9,782384404,814140009.4,853268764.4,934078958.3,1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770608,3076592634,3366368801,4409920571,5811443663,6740757493,7636346056,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434370005,11396310990,13532137228,9220470913,8733231184,9732328116,9840553236,9629649417,10486451144,9287367235,9633109350,10879778384,13621738837,15775357015,16587858857,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32050817633,29198372811,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.4,767102679,754549600.5,765224030.6,878771771.3,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14177437627,8553154506,
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,4040948305,4552914130,4968598031,4838841456,5992169467,5790247619,5452762963,5727208180,5918467519,6405440200,7198373469,7820367893,8671371951,10315774588,12370045405,13098633902,15341403660,19470978268,23263511958,27940389361,33400712095,36388389129,38968019453,38729822782,38253120738,34894419525,34942483688,36373312083,39212545681,39540083646,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,1.0666E+11,98443743191,86186156584,99886577576,98203544965,97933392356,94684582573,1.17075E+11,1.46566E+11,1.6259E+11,2.07416E+11,2.43982E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.6966E+11,3.80192E+11,3.78416E+11,2.9208E+11,
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,123505661.3,114271876.3,107089562.7,111519674,107489831.8,114490708.9,162487778.5,196433673.8,207476558.4,198733188.2,250030778.4,246823428.9,266191040.4,263568114.4,185761822.6,231896229.6,230495751.4,212099634.7,215394066.1,222580453.8,203846427.8,220093812.2,246737679.5,317562269.4,368143118.7,380372892.6,406111873.5,462453582.9,517477678.6,514788082.3,516962886.8,566024620.5,550476566.1,598925513.2,623751044.5,,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,142246875.5,139468114.6,140630758.6,138476239.4,132019065,137728155.2,190651208,235253171.8,264308140.3,267448513.1,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979069.3,490608657.9,521910560.5,592416703.1,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1864824081,1751888562,1837908563,1871187071,1629759975,
