,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192802,     50.67,     13.99,    103.22,     26.43,     24.69,     25.55,      8.96,     41.46,    105.38,     10.31,     24.65,     71.45,     40.87,    139.31,     91.46,     59.06,     47.73,     42.93,     97.75,    127.73,    466.92,     17.15,     89.05,     45.62,     82.90,      1.74,     62.64,     13.99,     34.55,     22.46
192803,     49.14,     13.25,     96.42,     26.15,     24.25,     25.40,      8.70,     34.35,    106.14,      9.71,     25.01,     69.01,     40.80,    137.27,     91.70,     56.32,     43.91,     42.36,     97.06,    131.36,    465.52,     17.03,     90.04,     45.84,     81.48,      1.60,     61.75,     13.58,     33.54,     21.66
192804,     51.25,     15.17,     98.15,     28.16,     25.38,     27.83,      9.01,     37.75,    119.39,     10.54,     26.40,     72.91,     43.28,    172.17,    117.08,     59.69,     46.69,     44.51,    101.94,    139.70,    468.84,     16.55,     92.77,     50.91,     85.85,      1.73,     66.99,     13.96,     36.63,     23.57
192805,     52.53,     15.81,     92.29,     29.68,     30.76,     28.80,      9.88,     38.56,    118.86,     10.04,     27.15,     73.80,     44.74,    176.32,    118.22,     60.72,     46.32,     45.03,    118.45,    154.57,    592.00,     16.87,     94.25,     50.61,     89.39,      1.62,     66.70,     14.00,     39.87,     26.16
192806,     53.33,     16.68,     91.82,     30.19,     36.20,     28.04,      9.75,     41.86,    122.38,      9.40,     27.01,     77.49,     46.67,    179.42,    123.72,     59.71,     46.85,     45.25,    111.11,    156.50,    631.15,     16.94,     97.11,     53.53,     88.66,      1.75,     70.88,     15.93,     40.72,     25.70
192807,     51.01,     15.93,     83.45,     31.15,     29.33,     24.93,      9.00,     62.28,    117.98,      9.35,     37.85,     72.27,     44.73,    164.66,    115.31,     53.49,     45.07,     36.75,    107.63,    154.49,    644.26,     15.98,    100.23,     42.60,     88.53,      3.95,     65.87,     15.51,     46.84,     22.63
192808,     51.47,     15.94,     86.22,     31.60,     29.61,     25.07,      9.03,     63.68,    119.91,      9.61,     38.53,     74.06,     44.85,    162.95,    119.23,     52.40,     44.40,     36.10,    108.83,    152.09,    636.03,     15.08,    105.58,     44.32,     87.98,      3.95,     69.52,     15.39,     46.96,     22.45
192809,     55.38,     17.91,     89.10,     34.53,     31.53,     27.43,      9.01,     72.50,    130.17,      9.78,     40.03,     80.66,     48.05,    182.99,    129.47,     55.49,     47.67,     36.76,    110.92,    161.40,    664.99,     17.36,    107.93,     49.79,     91.10,      4.11,     78.83,     17.24,     49.38,     25.11
192810,     56.10,     17.91,     88.25,     38.04,     30.67,     30.10,      8.87,     71.51,    134.72,     10.10,     41.98,     84.93,     49.72,    182.33,    139.92,     54.93,     48.79,     36.31,    116.99,    167.22,    657.74,     17.27,    109.70,     48.92,     91.11,      4.15,     78.87,     17.15,     46.68,     24.09
192811,     55.70,     18.53,     91.25,     37.58,     32.34,     32.52,      8.54,     71.46,    141.55,     10.69,     44.41,     90.27,     50.73,    186.12,    139.71,     53.97,     50.39,     35.41,    119.55,    163.61,    677.23,     18.09,    110.80,     46.12,     89.69,      4.87,     83.57,     16.75,     47.87,     22.83
192812,     59.87,     19.59,     97.06,     41.42,     32.67,     37.88,      8.72,     74.61,    157.94,     11.64,     48.35,    103.07,     58.53,    229.86,    144.56,     59.37,     57.74,     37.65,    140.05,    199.02,    722.45,     21.27,    119.08,     48.31,     97.64,      5.45,     96.29,     18.30,     52.62,     23.45
192901,     60.60,     18.78,     94.25,     40.68,     32.25,     36.11,      8.63,     86.73,    161.29,     10.93,     48.55,    106.52,     60.15,    244.17,    147.67,     59.84,     58.53,     37.36,    133.48,    201.74,    711.49,     19.58,    127.80,     48.81,     97.35,      5.22,     95.02,     17.61,     55.57,     20.49
192902,     62.55,     20.44,     97.78,     44.84,     32.67,     38.46,      8.45,     89.60,    197.97,     10.77,     52.35,    114.57,     67.42,    275.39,    148.92,     60.11,     63.36,     37.55,    122.58,    227.83,    806.64,     19.38,    131.43,     51.35,    101.72,      4.94,     91.11,     17.57,     60.15,     20.74
192903,     61.25,     19.61,     92.71,     45.31,     32.19,     35.75,      8.07,     89.08,    197.58,     10.99,     50.40,    124.31,     68.05,    286.75,    148.66,     60.64,     68.50,     37.88,    121.82,    222.83,    797.33,     21.51,    132.22,     54.39,     99.90,      4.78,     88.58,     17.55,     63.37,     19.24
192904,     58.07,     18.99,     88.26,     40.51,     29.80,     32.78,      7.60,     87.52,    190.04,     10.18,     47.09,    123.47,     64.98,    300.51,    146.47,     60.74,     70.72,     35.34,    135.74,    215.35,    823.33,     21.14,    134.56,     55.15,     96.69,      4.33,     83.92,     16.84,     62.32,     17.82
192905,     60.88,     21.45,     86.09,     40.73,     30.25,     32.90,      7.85,     88.71,    196.96,     10.44,     48.81,    124.72,     67.67,    303.71,    144.51,     60.32,     66.48,     34.29,    136.84,    232.08,    851.22,     21.89,    140.32,     59.33,     97.83,      4.44,     86.63,     18.56,     62.60,     15.90
192906,     58.12,     19.09,     85.53,     37.42,     30.35,     29.45,      7.29,     81.19,    182.00,      8.97,     45.26,    108.55,     60.89,    306.22,    121.26,     55.65,     58.66,     32.59,    128.53,    242.71,    776.59,     20.73,    137.58,     54.33,     99.74,      4.14,     78.85,     17.97,     60.52,     13.76
192907,     63.34,     22.70,     82.29,     45.83,     55.05,     40.72,      8.58,     85.62,    210.12,     11.96,     43.28,    115.16,     64.48,    332.83,    125.54,     72.51,     69.37,     27.78,    130.92,    352.91,    864.12,     30.58,    151.84,     50.14,    109.11,     11.59,     80.44,     21.58,     82.69,     14.47
192908,     66.27,     22.94,     83.88,     44.72,     55.41,     43.17,      8.22,     87.74,    220.66,     11.49,     44.89,    118.76,     67.78,    366.45,    120.32,     77.05,     67.48,     33.07,    129.65,    384.67,    982.32,     30.36,    160.52,     53.42,    117.88,     11.13,     81.10,     21.95,     89.65,     15.12
192909,     68.89,     25.19,     90.45,     47.35,     56.11,     44.65,      8.27,     89.94,    246.18,     11.50,     46.16,    132.22,     74.75,    415.49,    121.98,     78.57,     73.16,     34.80,    144.23,    417.99,   1090.20,     29.24,    174.05,     58.36,    127.33,     10.48,     87.49,     22.93,     89.43,     14.65
192910,     67.59,     24.55,     83.09,     46.29,     54.91,     47.53,      7.89,     83.30,    228.99,     11.04,     44.49,    120.01,     70.26,    366.84,    110.79,     71.06,     69.21,     34.03,    142.36,    426.04,   1067.01,     40.39,    190.89,     55.58,    118.59,     10.41,     82.55,     22.08,     88.06,     14.63
192911,     58.53,     17.98,     84.97,     38.22,     48.04,     31.89,      7.14,     68.18,    172.28,      8.66,     36.81,    100.97,     54.42,    255.83,     79.41,     55.46,     60.10,     31.55,    127.56,    297.67,    902.81,     34.84,    154.04,     47.09,    108.75,      7.87,     62.47,     17.73,     62.16,      9.85
192912,     52.83,     15.85,     79.06,     32.22,     46.17,     27.15,      6.37,     62.27,    143.40,      7.68,     32.86,     86.28,     46.58,    208.87,     64.34,     49.71,     51.08,     30.05,    118.58,    253.18,    817.32,     30.20,    119.31,     40.22,     99.85,      7.35,     54.21,     15.86,     53.29,      8.30
193001,     52.49,     16.10,     80.64,     28.84,     45.93,     27.23,      6.56,     62.54,    152.38,      7.10,     32.16,     85.37,     47.87,    234.06,     66.59,     50.91,     49.18,     28.33,    119.34,    272.48,    817.28,     29.65,    123.96,     39.97,     99.12,      7.26,     50.67,     16.21,     55.64,      7.58
193002,     55.38,     14.52,     87.51,     36.08,     46.72,     29.83,      6.79,     64.01,    164.60,      7.81,     34.33,     89.81,     51.80,    259.69,     70.72,     51.90,     51.86,     28.06,    118.19,    291.75,    827.04,     15.02,    135.65,     42.70,    102.54,      7.39,     52.80,     18.08,     61.02,     12.38
193003,     55.25,     14.68,     91.74,     42.25,     49.82,     27.12,      6.72,     71.64,    167.80,      8.25,     34.50,     89.53,     54.14,    280.02,     74.03,     55.16,     51.17,     29.33,    111.55,    315.58,    885.44,     23.86,    144.81,     46.26,    104.36,      7.05,     49.74,     18.05,     64.63,     12.12
193004,     56.51,     13.40,     95.11,     48.76,     50.69,     26.92,      7.17,     75.54,    184.91,      7.95,     35.47,     94.79,     56.76,    303.97,     83.13,     58.07,     51.54,     29.56,    135.29,    345.95,    954.99,     26.04,    150.99,     49.01,    108.82,      6.70,     48.27,     18.81,     69.98,     12.88
193005,     58.16,     11.76,     92.34,     50.09,     50.99,     26.29,      7.07,     74.54,    174.86,      7.13,     33.50,     81.68,     60.24,    313.01,     75.81,     54.05,     44.29,     26.86,    144.93,    356.98,    911.80,     25.86,    148.31,     46.53,    100.90,      6.97,     49.26,     19.25,     67.15,     12.46
193006,     59.66,     11.71,     93.64,     52.91,     50.42,     24.29,      6.74,     81.58,    170.21,      6.72,     34.08,     81.49,     56.61,    297.68,     78.84,     50.88,     46.68,     26.32,    138.72,    351.07,    915.48,     22.04,    143.86,     46.48,    101.34,      6.32,     49.19,     18.86,     63.26,     11.38
193007,     57.77,     10.07,     93.31,     50.64,     45.02,     51.70,     16.88,     61.53,    116.78,      6.33,     31.44,     73.19,     42.92,    211.75,     54.98,     40.74,     42.56,     23.35,    120.23,    321.25,    916.69,     21.21,     80.13,     39.61,     86.77,      7.77,     41.04,     15.61,     43.23,     11.88
193008,     59.43,     10.07,     95.97,     51.83,     46.46,     54.39,     17.42,     65.50,    122.96,      6.63,     33.82,     75.34,     44.14,    220.20,     61.34,     42.50,     43.94,     22.79,    126.94,    333.49,    928.36,     21.61,     83.65,     42.40,     89.22,      7.63,     42.08,     16.02,     45.14,     12.89
193009,     60.28,     11.00,     99.34,     53.75,     45.32,     54.69,     16.88,     69.96,    127.84,      6.53,     32.80,     73.16,     44.37,    223.80,     59.23,     42.64,     37.66,     23.34,    124.48,    336.30,    943.67,     22.85,     86.74,     41.71,     89.12,      7.04,     44.13,     16.27,     45.46,     12.67
193010,     53.84,      9.65,     90.06,     43.41,     43.49,     48.81,     16.12,     63.53,    109.35,      5.65,     27.36,     65.36,     36.84,    177.59,     49.33,     34.85,     34.15,     21.92,    106.06,    295.61,    884.75,     21.26,     76.56,     36.26,     81.16,      6.33,     39.25,     13.85,     37.06,     10.37
193011,     50.98,      9.35,     85.68,     39.56,     40.08,     46.22,     15.27,     60.71,     95.71,      5.39,     23.36,     59.18,     32.86,    144.50,     44.55,     30.58,     30.40,     19.19,     97.10,    270.63,    848.31,     28.32,     66.58,     34.67,     76.36,      5.93,     35.77,     12.40,     31.32,      8.85
193012,     51.37,      9.68,     84.33,     37.02,     38.76,     45.32,     15.47,     58.16,     95.33,      5.16,     22.65,     58.34,     32.39,    139.28,     46.45,     31.68,     31.77,     17.34,     93.24,    245.85,    820.53,     26.43,     64.57,     34.75,     71.93,      6.09,     36.64,     12.05,     28.60,      8.89
193101,     48.52,      8.56,     81.14,     30.74,     36.48,     42.52,     14.10,     53.87,     90.46,      4.81,     19.43,     53.43,     30.05,    121.20,     45.61,     26.78,     28.83,     15.76,     81.31,    236.07,    779.31,     26.60,     59.95,     32.67,     67.45,      5.81,     31.43,     10.94,     24.74,      7.72
193102,     51.01,      8.96,     86.25,     35.71,     36.92,     45.83,     14.06,     58.26,     89.66,      5.40,     20.56,     54.78,     31.70,    127.32,     49.67,     31.20,     30.71,     17.78,     85.10,    248.65,    816.62,     28.15,     63.20,     33.54,     74.94,      6.08,     33.60,     11.68,     29.30,      9.08
193103,     55.51,     10.46,     91.21,     38.34,     37.56,     48.65,     14.44,     62.22,    101.36,      6.24,     23.48,     62.32,     35.23,    159.22,     57.55,     34.76,     34.91,     17.66,     89.65,    285.51,    865.17,     28.73,     72.23,     37.63,     76.26,      5.95,     38.57,     12.93,     34.31,     10.45
193104,     53.71,      7.67,     90.84,     35.34,     36.72,     46.74,     14.42,     63.00,     93.65,      6.02,     21.80,     57.49,     32.16,    155.09,     55.06,     31.78,     32.26,     15.33,     76.55,    276.53,    824.15,     28.95,     66.49,     37.41,     67.99,      5.73,     37.21,     12.09,     31.19,     12.24
193105,     49.00,      5.99,     93.21,     25.68,     32.91,     44.43,     13.23,     60.68,     81.47,      5.26,     18.74,     47.35,     27.06,    132.23,     51.74,     26.30,     28.08,     13.67,     65.97,    250.98,    789.11,     28.57,     61.18,     34.13,     62.84,      5.46,     35.32,     10.53,     26.46,      9.96
193106,     42.82,      5.42,     82.28,     19.57,     29.31,     39.53,     13.14,     53.86,     71.22,      4.86,     15.76,     37.50,     21.73,    117.06,     42.78,     21.94,     27.21,     11.12,     57.26,    221.94,    718.54,     14.04,     50.55,     28.90,     51.56,      4.63,     34.23,      9.82,     21.40,      9.05
193107,     46.40,      5.94,     91.69,     25.46,     26.24,     48.29,     14.81,     60.13,     77.29,      5.21,     16.97,     43.46,     22.93,    138.02,     48.36,     26.15,     31.54,     12.71,     74.00,    252.15,    896.06,     11.96,     59.41,     29.66,     60.21,      4.71,     36.03,     11.02,     37.60,      9.82
193108,     44.35,      5.31,     88.41,     23.22,     25.30,     47.08,     14.31,     61.66,     72.26,      4.87,     15.23,     36.73,     20.11,    123.62,     47.10,     23.59,     28.95,     10.52,     71.73,    238.05,    852.38,     11.77,     53.13,     25.65,     54.20,      4.31,     35.51,     10.10,     34.21,      9.99
193109,     44.89,      6.05,     84.78,     24.86,     23.65,     46.56,     13.94,     61.28,     72.83,      4.89,     14.76,     36.75,     19.63,    128.32,     45.15,     22.87,     29.50,     10.22,     78.13,    221.53,    859.33,     11.80,     54.81,     25.88,     50.39,      4.37,     36.44,     10.21,     34.33,      9.82
193110,     32.35,      4.53,     65.80,     14.19,     18.26,     30.28,     12.58,     42.90,     51.74,      3.81,      9.99,     26.65,     12.94,     83.64,     29.33,     15.61,     20.06,      7.14,     54.67,    147.67,    662.64,      9.74,     36.80,     19.70,     39.83,      3.19,     25.25,      7.30,     20.34,      7.23
193111,     35.64,      5.63,     69.73,     16.89,     14.85,     34.73,     12.26,     47.70,     54.13,      3.88,     10.52,     27.16,     14.09,     92.71,     32.86,     17.53,     23.79,      7.20,     62.53,    162.68,    691.40,      9.97,     40.44,     21.91,     38.34,      3.41,     28.74,      8.10,     22.79,      7.57
193112,     34.45,      5.03,     64.94,     11.75,     13.25,     32.05,     12.08,     45.75,     50.93,      3.49,      9.69,     24.38,     13.36,     77.99,     31.58,     15.26,     20.08,      5.93,     56.61,    153.99,    644.00,      9.66,     36.76,     19.44,     29.89,      2.81,     25.58,      6.92,     20.24,      7.08
193201,     30.52,      4.64,     60.23,      7.95,     10.35,     29.10,     10.17,     43.55,     47.39,      3.24,      7.89,     17.91,     10.89,     65.95,     28.92,     12.54,     17.27,      4.55,     45.83,    132.96,    581.57,      7.50,     31.92,     17.02,     25.24,      2.18,     21.59,      5.86,     15.60,      6.12
193202,     29.90,      4.33,     65.12,      9.30,      9.74,     29.03,     10.64,     42.36,     44.47,      3.25,      7.77,     18.48,     11.03,     56.48,     26.59,     13.95,     17.48,      4.81,     43.41,    129.35,    558.06,      7.44,     30.78,     16.90,     27.13,      2.16,     21.70,      5.64,     16.19,      6.45
193203,     32.03,      5.10,     69.56,      9.88,      9.50,     29.86,     10.73,     42.61,     49.90,      3.34,      8.55,     19.32,     10.80,     61.33,     26.67,     14.17,     17.09,      4.64,     46.74,    137.29,    622.98,      7.59,     30.83,     18.61,     25.88,      2.24,     22.83,      6.05,     18.39,      6.57
193204,     29.94,      4.52,     65.78,      7.57,      8.39,     24.86,     10.28,     39.56,     43.84,      3.19,      7.26,     16.07,      9.34,     50.19,     20.73,     11.07,     15.92,      3.84,     47.41,    123.51,    550.15,      7.39,     28.30,     17.02,     21.24,      1.26,     20.68,      5.52,     15.89,      5.63
193205,     25.89,      4.05,     59.24,      5.75,      7.16,     22.22,      9.76,     31.70,     29.09,      2.80,      6.09,     12.92,      7.43,     38.62,     14.73,      9.24,     13.59,      3.17,     40.85,    104.10,    481.95,      7.03,     20.64,     11.97,     15.93,      1.18,     17.49,      4.43,     12.81,      4.66
193206,     20.24,      3.02,     45.98,      3.21,      5.17,     17.54,      9.96,     20.28,     25.79,      2.16,      5.01,      9.95,      5.79,     25.59,     11.78,      6.93,     12.08,      2.47,     38.07,     75.24,    429.87,      6.87,     17.34,      9.94,     10.44,      0.75,     12.76,      3.27,      9.54,      3.91
193207,     20.04,      3.61,     48.19,      3.54,      3.65,     12.28,      8.95,     22.20,     23.56,      2.05,      5.03,     10.36,      5.15,     27.85,     10.79,      7.48,     10.27,      2.51,     39.52,     76.37,    390.21,      5.35,     18.99,      9.52,      9.80,      0.81,     12.59,      3.33,      9.97,      3.57
193208,     27.11,      4.27,     60.05,      5.88,      5.28,     16.24,      7.06,     28.65,     30.24,      2.68,      6.76,     16.80,      7.40,     43.31,     15.90,     10.72,     14.98,      3.92,     53.21,     98.58,    455.35,      6.66,     22.67,     11.57,     15.78,      0.93,     16.00,      4.17,     15.16,      4.66
193209,     33.58,      5.99,     70.05,      9.79,      7.41,     20.52,      8.97,     38.31,     41.04,      4.41,      9.29,     26.73,     11.21,     64.96,     23.36,     15.53,     19.37,      8.83,     63.13,    140.53,    583.62,      6.61,     30.06,     16.29,     26.04,      1.46,     21.15,      5.19,     24.17,      6.40
193210,     32.77,      5.81,     69.50,      8.70,      7.48,     20.56,      8.95,     33.56,     43.23,      3.91,      9.46,     24.03,     10.67,     60.80,     24.67,     17.07,     18.13,      8.29,     56.51,    133.47,    573.76,      6.40,     28.51,     15.74,     25.27,      1.83,     21.67,      5.17,     22.34,      5.71
193211,     30.16,      5.07,     59.74,      6.44,      5.76,     18.02,      8.16,     27.30,     36.10,      3.40,      7.96,     20.24,      8.28,     47.85,     18.57,     13.30,     16.81,      6.53,     54.76,    118.83,    527.11,      6.22,     25.15,     14.96,     20.31,      1.45,     18.93,      4.44,     18.50,      5.24
193212,     28.68,      4.80,     54.18,      6.21,      6.30,     17.05,      7.81,     28.19,     35.24,      3.07,      7.47,     15.67,      7.69,     43.36,     18.19,     12.38,     17.17,      5.26,     51.96,    113.65,    521.22,      6.23,     23.84,     14.48,     18.30,      1.30,     17.71,      4.14,     17.82,      4.65
193301,     30.35,      5.12,     54.02,      5.43,      5.57,     17.32,      7.55,     29.95,     39.66,      2.85,      7.51,     14.35,      7.84,     45.12,     19.12,     13.08,     16.68,      4.85,     52.01,    123.50,    529.07,      6.06,     25.34,     15.78,     19.26,      1.17,     18.55,      4.24,     19.20,      4.45
193302,     30.41,      4.32,     60.14,      4.11,      5.56,     15.83,      8.34,     29.57,     41.18,      2.78,      7.41,     14.73,      8.36,     44.94,     19.16,     14.31,     16.62,      5.31,     50.21,    117.90,    530.67,      6.62,     26.42,     17.28,     22.02,      1.08,     18.35,      4.61,     19.48,      4.38
193303,     27.40,      3.82,     54.24,      3.31,      4.41,     12.46,      7.95,     25.90,     35.74,      2.57,      6.17,     12.22,      6.37,     34.86,     14.46,     11.77,     15.23,      4.07,     42.95,     93.60,    489.43,      5.91,     22.64,     15.01,     18.27,      1.00,     14.89,      3.77,     15.51,      4.09
193304,     30.39,      4.80,     57.91,      2.94,      5.10,     13.90,      8.52,     24.92,     37.20,      2.63,      6.91,     14.01,      7.87,     37.15,     15.86,     13.27,     16.47,      4.44,     44.71,     81.18,    449.62,      5.89,     23.34,     16.00,     19.44,      1.00,     16.14,      3.76,     14.33,      4.10
193305,     40.43,      6.19,     77.00,      4.77,      7.72,     21.82,     12.05,     34.15,     54.39,      4.02,      9.64,     25.76,     12.03,     59.29,     28.84,     19.51,     20.78,      6.02,     62.15,    101.58,    509.07,      5.98,     32.32,     22.74,     24.83,      1.45,     23.03,      4.12,     20.46,      5.95
193306,     44.85,     11.61,     83.51,      7.35,      9.62,     25.72,     15.17,     41.71,     69.81,      5.61,     13.86,     31.44,     15.96,     70.52,     37.51,     24.49,     27.53,      7.93,     74.26,    120.35,    597.50,      6.66,     39.46,     25.99,     32.86,      2.28,     27.85,      5.14,     25.77,      8.61
193307,     48.89,     17.28,     92.32,      8.86,     11.05,     27.34,     14.87,     46.26,     77.14,      6.64,     18.97,     34.32,     19.14,     73.40,     44.93,     29.50,     30.83,      9.16,     81.25,    136.80,    649.17,      5.53,     40.24,     27.27,     35.41,      3.41,     32.01,      5.70,     29.20,      9.59
193308,     44.82,     14.70,     90.35,      8.21,      8.53,     24.66,     14.23,     37.39,     69.93,      5.60,     16.12,     30.83,     15.29,     65.07,     41.86,     24.55,     28.09,      6.93,     71.78,    123.55,    620.83,      5.47,     36.05,     25.53,     33.81,      2.94,     27.70,      4.77,     25.56,      9.31
193309,     48.73,     19.57,     98.94,     10.61,     10.42,     27.43,     15.05,     36.78,     84.63,      6.20,     18.45,     34.38,     18.28,     73.83,     49.89,     30.43,     32.87,      8.10,     85.41,    121.16,    648.94,      5.37,     40.15,     28.26,     39.59,      3.31,     29.51,      5.15,     27.91,     11.36
193310,     44.08,     18.44,     94.61,      9.73,      7.65,     24.09,     13.11,     36.16,     77.91,      5.55,     15.71,     31.29,     15.37,     59.36,     42.33,     25.96,     34.58,      6.44,     83.50,     96.84,    614.63,      5.21,     35.33,     27.04,     31.49,      2.59,     26.92,      4.51,     23.08,     10.00
193311,     40.39,     17.24,     83.59,      8.49,      7.13,     22.36,     12.62,     33.96,     73.92,      5.00,     14.63,     27.35,     14.54,     52.90,     37.97,     22.31,     32.93,      5.29,     79.67,     89.42,    570.47,      8.77,     32.85,     26.10,     27.53,      2.39,     24.84,      3.75,     20.08,      9.23
