'playerID';'birthYear';'birthMonth';'birthDay';'birthCountry';'birthState';'birthCity';'deathYear';'deathMonth';'deathDay';'deathCountry';'deathState';'deathCity';'nameFirst';'nameLast';'nameGiven';'weight';'height';'bats';'throws';'debut';'finalGame';'retroID';'bbrefID'
'harpebr03';'1992';'10';'16';'USA';'NV';'Las Vegas';'';'';'';'';'';'';'Bryce';'Harper';'Bryce Aron Max';'215';'75';'L';'R';'2012-04-28';'2016-10-02';'harpb003';'harpebr03'
'harrijo05';'1987';'7';'8';'USA';'OH';'Cincinnati';'';'';'';'';'';'';'Josh';'Harrison';'Joshua Isaiah';'190';'68';'R';'R';'2011-05-31';'2016-09-10';'harrj002';'harrijo05'
'jeterde01';'1974';'6';'26';'USA';'NJ';'Pequannock';'';'';'';'';'';'';'Derek';'Jeter';'Derek Sanderson';'195';'75';'R';'R';'1995-05-29';'2014-09-28';'jeted001';'jeterde01'
'johnsch05';'1984';'10';'1';'USA';'FL';'Naples';'';'';'';'';'';'';'Chris';'Johnson';'Christopher Dalton';'225';'75';'R';'R';'2009-09-09';'2016-10-02';'johnc003';'johnsch05'
'kempma01';'1984';'9';'23';'USA';'OK';'Midwest City';'';'';'';'';'';'';'Matt';'Kemp';'Matthew Ryan';'210';'76';'R';'R';'2006-05-28';'2016-10-02';'kempm001';'kempma01'
'martivi01';'1978';'12';'23';'Venezuela';'Bolivar';'Ciudad Bolivar';'';'';'';'';'';'';'Victor';'Martinez';'Victor Jesus';'210';'74';'B';'R';'2002-09-10';'2016-10-02';'martv001';'martivi01'
'mauerjo01';'1983';'4';'19';'USA';'MN';'St. Paul';'';'';'';'';'';'';'Joe';'Mauer';'Joseph Patrick';'225';'77';'L';'R';'2004-04-05';'2016-09-25';'mauej001';'mauerjo01'
'mccutan01';'1986';'10';'10';'USA';'FL';'Fort Meade';'';'';'';'';'';'';'Andrew';'McCutchen';'Andrew Stefan';'195';'70';'R';'R';'2009-06-04';'2016-10-02';'mccua001';'mccutan01'
'molinya01';'1982';'7';'13';'P.R.';'';'Bayamon';'';'';'';'';'';'';'Yadier';'Molina';'Yadier Benjamin';'205';'71';'R';'R';'2004-06-03';'2016-10-02';'moliy001';'molinya01'
'morneju01';'1981';'5';'15';'CAN';'BC';'New Westminster';'';'';'';'';'';'';'Justin';'Morneau';'Justin Ernest George';'220';'76';'L';'R';'2003-06-10';'2016-10-02';'mornj001';'morneju01'
'polloaj01';'1987';'12';'5';'USA';'CT';'Hebron';'';'';'';'';'';'';'A. J.';'Pollock';'Allen Lorenz';'195';'73';'R';'R';'2012-04-18';'2016-09-09';'polla001';'polloaj01'
'poseybu01';'1987';'3';'27';'USA';'GA';'Leesburg';'';'';'';'';'';'';'Buster';'Posey';'Gerald Dempsey';'215';'73';'R';'R';'2009-09-11';'2016-10-02';'poseb001';'poseybu01'
'reyesjo01';'1983';'6';'11';'D.R.';'Santiago';'Santiago';'';'';'';'';'';'';'Jose';'Reyes';'Jose Bernabe';'195';'72';'B';'R';'2003-06-10';'2016-10-01';'reyej001';'reyesjo01'
'troutmi01';'1991';'8';'7';'USA';'NJ';'Vineland';'';'';'';'';'';'';'Mike';'Trout';'Michael Nelson';'235';'74';'R';'R';'2011-07-08';'2016-10-02';'troum001';'troutmi01'
'youngmi02';'1976';'10';'19';'USA';'CA';'Covina';'';'';'';'';'';'';'Michael';'Young';'Michael Brian';'200';'73';'R';'R';'2000-09-29';'2013-09-29';'younm003';'youngmi02'
