School ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link ,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,HEALTHY_SCHOOL_CERTIFIED,Safety Icon ,SAFETY_SCORE,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,AVERAGE_STUDENT_ATTENDANCE,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,COLLEGE_ENROLLMENT,General Services Route ,Freshman on Track Rate %,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Ward,Police District,Location
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave ,Chicago,IL,60618,(773) 534-5150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609799.pdf,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Very Strong,99,Very Strong,88,Strong,64,Average,46,Average,51,Average,51,NDA,NDA,NDA,NDA,96.30%,6.3,95.90%,99.30%,91.9,67.3,79.2,77.4,53.3,54.7,84.2,83,49.8,53.6,62.6,71.7,64,57.9,0,0.3,Yellow,Yellow,58.1,65.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,998,35,NDA,1160327.881,1924862.722,41.94952795,-87.68605496,5,NORTH CENTER,47,19,"(41.94952795, -87.68605496)"
609947,Alexander Graham Elementary School,ES,4436 S Union Ave ,Chicago,IL,60609,(773) 535-1308,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609947.pdf,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,49,Weak,30,Weak,31,Weak,33,Weak,30,Average,41,Average,48,Average,51,92.50%,27.4,95.00%,92.10%,76.7,47.4,59.4,38.8,51.6,76.2,44.4,31.3,66.7,49.3,5.9,35.3,20.8,11.1,1.7,-0.5,Green,Yellow,45.3,31.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,476,42,NDA,1172335.702,1875308.997,41.81329195,-87.64338051,61,NEW CITY,11,9,"(41.81329195, -87.64338051)"
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave ,Chicago,IL,60657,(773) 534-5484,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609963.pdf,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,73,Strong,64,Strong,60,Average,59,Average,59,Average,48,Strong,57,Strong,54,95.30%,12.5,97.40%,97.40%,70.3,47.2,34.4,48.4,56.5,62.9,31.9,46.8,48.9,51.1,14.3,35.7,13.8,21.3,0.6,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,307,33,NDA,1164474.274,1923334.414,41.94524725,-87.67085683,6,LAKE VIEW,32,19,"(41.94524725, -87.67085683)"
610210,Alexander von Humboldt Elementary School,ES,2620 W Hirsch St ,Chicago,IL,60622,(773) 534-4480,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610210.pdf,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,31,NDA,NDA,Weak,32,Average,45,NDA,NDA,NDA,NDA,Weak,43,Weak,44,92.50%,185.5,96.00%,100.00%,NDA,32.6,23.6,24,56.3,54,31.8,19.7,60.7,39.7,9.1,20.5,8.6,5.7,-0.4,-1.2,Yellow,Red,14.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,398,34,NDA,1158554.232,1909250.021,41.90672216,-87.69300325,24,WEST TOWN,26,14,"(41.90672216, -87.69300325)"
609808,Alex Haley Elementary Academy,ES,11411 S Eggleston Ave ,Chicago,IL,60628,(773) 535-5340,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609808.pdf,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,28,NDA,NDA,Average,58,Strong,60,NDA,NDA,NDA,NDA,Average,47,Average,49,94.90%,2.9,94.70%,94.70%,51.6,31.4,17.3,13.6,43.7,41.4,36.3,24.5,64.8,53.9,1.8,16.1,11.6,1.9,0.5,-1.5,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,525,48,NDA,1175378.714,1829178.573,41.68663682,-87.63359476,49,ROSELAND,34,22,"(41.68663682, -87.63359476)"
610028,Alfred David Kohn Elementary School,ES,10414 S State St ,Chicago,IL,60628,(773) 535-5489,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610028.pdf,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,19,Weak,26,Weak,22,Very Weak,13,Weak,21,Very Weak,19,Average,47,Weak,45,90.10%,31.2,94.20%,96.40%,41.3,31.9,34,22.2,42.8,56.2,29.6,22.8,80,61.7,4.3,19.6,5,5.6,0.5,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,428,48,NDA,1178053.498,1835837.822,41.70485072,-87.62360199,49,ROSELAND,34,5,"(41.70485072, -87.62360199)"
610098,Alfred Nobel Elementary School,ES,4127 W Hirsch St ,Chicago,IL,60651,(773) 534-4365,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610098.pdf,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,37,Weak,34,Weak,37,Weak,35,Average,48,Weak,36,Average,48,Average,51,94.60%,24.8,95.20%,100.00%,55.4,33.2,26.7,23.2,47.3,50,39.2,28.1,59.5,51,15.2,16.7,9.7,7.1,-0.3,0.7,Yellow,Yellow,23.4,44.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,801,34,NDA,1148503.002,1908960.619,41.90612797,-87.72993324,23,HUMBOLDT PARK,37,25,"(41.90612797, -87.72993324)"
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,10354 S Charles St ,Chicago,IL,60643,(773) 535-2625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609788.pdf,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,46,NDA,NDA,Weak,39,Average,58,NDA,NDA,NDA,NDA,Strong,69,Average,51,95.60%,28.5,95.00%,100.00%,62.1,38.5,43,38.8,47.4,61.8,45.6,40.4,49.4,61.4,18.5,29.6,18,15.7,1.9,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,274,49,NDA,1168627.899,1835867.534,41.70514024,-87.65811642,72,BEVERLY,19,22,"(41.70514024, -87.65811642)"
610334,Al Raby High School,HS,3545 W Fulton Blvd ,Chicago,IL,60624,(773) 534-6755,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610334.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Average,52,NDA,NDA,Average,51,Average,53,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,80.30%,14,95.10%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,13,14.1,14,1.2,15.2,1.1,13.5,72.2,64.2,551,34,74.3,1152512.295,1901720.85,41.886183,-87.71539705,27,EAST GARFIELD PARK,28,11,"(41.886183, -87.71539705)"
610131,Ambrose Plamondon Elementary School,ES,2642 W 15th Pl ,Chicago,IL,60608,(773) 534-1789,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610131.pdf,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,45,NDA,NDA,Weak,32,Weak,28,NDA,NDA,NDA,NDA,Weak,45,Weak,41,96.90%,0.6,96.60%,100.00%,61.9,14.3,27.3,37.9,35,54.8,43.5,25,74.4,40,16.7,25,12.3,11.4,-1.5,-1.3,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,171,39,NDA,1158816.302,1892329.996,41.86028668,-87.69250468,29,NORTH LAWNDALE,28,10,"(41.86028668, -87.69250468)"
610316,Amelia Earhart Options for Knowledge Elementary School,ES,1710 E 93rd St ,Chicago,IL,60617,(773) 535-6416,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610316.pdf,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Track_E,Not on Probation,Level 2,No,Very Strong,81,Strong,63,Strong,60,Strong,73,Weak,34,Average,54,NDA,NDA,NDA,NDA,96.30%,33.4,95.40%,100.00%,76.7,NDA,58.1,59.1,66.7,58.1,48.8,67.5,51.3,62.5,NDA,NDA,27.5,26.4,0.1,1,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,264,47,NDA,1189297.589,1843689.527,41.72613498,-87.58217727,48,CALUMET HEIGHTS,8,4,"(41.72613498, -87.58217727)"
609780,Ames Middle School,MS,1920 N Hamlin Ave ,Chicago,IL,60647,(773) 534-4970,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609780.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Weak,38,Very Weak,17,Weak,27,Weak,35,Weak,26,Weak,26,Average,50,Average,50,94.30%,5.3,96.00%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,35.1,27.9,76.8,51.1,9.2,18.4,14.5,3,-1.9,-1.5,Red,Red,28.8,55,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,586,34,NDA,1150696.779,1912593.823,41.91605519,-87.72177945,22,LOGAN SQUARE,26,25,"(41.91605519, -87.72177945)"
610339,Amos Alonzo Stagg Elementary School,ES,7424 S Morgan St ,Chicago,IL,60621,(773) 535-3565,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610339.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,23,Weak,35,Weak,35,Average,42,Weak,25,Average,42,Weak,44,Average,50,91.40%,34.3,95.50%,100.00%,NDA,NDA,35.3,22.4,47.6,58.2,20.1,26.8,49.2,43.9,8,23.5,7.7,7.8,-0.4,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,539,45,NDA,1170892.32,1855485.867,41.75892669,-87.6492534,68,ENGLEWOOD,17,7,"(41.75892669, -87.6492534)"
610320,Ana Roque de Duprey Elementary School,ES,2620 W Hirsch St ,Chicago,IL,60622,(773) 534-4230,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610320.pdf,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,Yes,Average,57,NDA,NDA,Very Weak,12,Very Weak,14,NDA,NDA,NDA,NDA,Average,53,Strong,57,95.40%,77.5,95.60%,100.00%,32.1,23.3,56.8,32.4,75.8,75.8,34.9,34.1,53.8,52.5,7.1,28.6,11.1,6.2,0.7,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,114,34,NDA,1158554.232,1909250.021,41.90672216,-87.69300325,24,WEST TOWN,26,14,"(41.90672216, -87.69300325)"
609837,Andrew Carnegie Elementary School,ES,1414 E 61st Pl ,Chicago,IL,60637,(773) 535-0530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609837.pdf,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,48,Average,51,Weak,37,Strong,63,Average,42,Weak,31,Average,49,Average,49,94.60%,6.2,94.40%,100.00%,NDA,NDA,40.2,48.3,40.8,52.3,29.8,44.7,32.6,36.2,18.4,38.8,21.4,20.4,-1.2,0.1,Red,Yellow,48.1,8.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,730,46,NDA,1186764.646,1864534.473,41.78339577,-87.59079649,42,WOODLAWN,20,3,"(41.78339577, -87.59079649)"
610060,Andrew Jackson Elementary Language Academy,ES,1340 W Harrison St ,Chicago,IL,60607,(773) 534-7000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610060.pdf,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,86,NDA,NDA,Average,57,Average,46,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,97.40%,0.7,96.10%,100.00%,88.7,NDA,90.3,90.9,70.6,81.2,85.7,90.7,64.8,62.1,72.6,87.1,70.4,62.7,0.6,0.8,Green,Green,48.4,80,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,38,NDA,1167364.912,1897512.032,41.87432724,-87.66097599,28,NEAR WEST SIDE,2,12,"(41.87432724, -87.66097599)"
609869,Anna R. Langford Community Academy,ES,6010 S Throop St ,Chicago,IL,60636,(773) 535-9180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609869.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,31,Weak,31,Average,54,Weak,32,Average,49,Average,50,Average,53,Average,52,91.80%,29,95.40%,100.00%,58.8,NDA,40,14,52.8,59.8,31.9,17,51.3,44.9,7.7,11.5,12.6,7.5,0.5,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,339,43,NDA,1168649.029,1864844.463,41.78465652,-87.6572053,67,WEST ENGLEWOOD,16,7,"(41.78465652, -87.6572053)"
610084,Annie Keller Elementary Gifted Magnet School,ES,3020 W 108th St ,Chicago,IL,60655,(773) 535-2636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610084.pdf,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99,Very Strong,97,Very Strong,85,Very Strong,82,Very Strong,94,Very Strong,82,Strong,68,Strong,60,97.50%,4.9,96.50%,100.00%,100,NDA,100,100,63.4,74.7,96.5,97.7,61.2,76.7,89.3,100,92.8,92.3,1.6,2.3,Green,Green,51.5,70.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,245,49,NDA,1157959.455,1832892.067,41.69719792,-87.6972638,74,MOUNT GREENWOOD,19,22,"(41.69719792, -87.6972638)"
610229,A.N. Pritzker School,ES,2009 W Schiller St ,Chicago,IL,60622,(773) 534-4415,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610229.pdf,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Average,59,NDA,NDA,Average,58,Strong,61,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.60%,36.5,95.60%,98.50%,56.8,11.8,58.2,58.5,55,55.6,62.9,54.9,57.6,55.1,38.7,50,37.2,34.5,-0.2,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,669,35,NDA,1162693.096,1909391.648,41.907025,-87.67779555,24,WEST TOWN,1,14,"(41.907025, -87.67779555)"
610277,Anthony Overton Elementary School,ES,221 E 49th St ,Chicago,IL,60615,(773) 535-1430,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610277.pdf,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,32,NDA,NDA,Strong,64,Strong,76,NDA,NDA,NDA,NDA,Average,52,Strong,55,90.50%,24.9,94.90%,100.00%,52,54.8,19.6,16.2,41.1,40,20.4,25,45.1,46.2,0,8.3,8.2,4.3,1.2,0.7,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,436,42,NDA,1178699.353,1872549.026,41.80557578,-87.62012252,38,GRAND BOULEVARD,3,2,"(41.80557578, -87.62012252)"
